URSI,avg_degree,max_degree,std_degree,avg_strength,max_strength,total_strength,std_strength,density,avg_edge_weight,clustering_coef,transitivity,avg_betweenness,avg_eigenvector
M87183189,27.97142857142857,62,11.053081572344338,28058.514285714286,117517.0,1964096.0,26279.933619856838,0.40538302277432714,1003.1133810010215,0.031240881668160546,0.6387014764838174,0.05149200259814071,0.07594212839388952
M87159580,30.62857142857143,58,11.91897817836439,37927.614285714284,188115.0,2654933.0,34791.75216937931,0.44389233954451346,1238.308302238806,0.03993800559976429,0.6833995753253117,0.053018917712012344,0.0776269595738097
M87188000,26.714285714285715,55,10.885301829456422,31279.514285714286,150380.0,2189566.0,31861.521450979464,0.38716356107660455,1170.8909090909092,0.03480527853530206,0.6465058531394111,0.052281637292598195,0.06926579121605181
M87105476,27.314285714285713,59,12.265564872139118,26996.314285714285,126122.5,1889742.0,26045.55583713871,0.3958592132505176,988.3587866108786,0.029452354333721096,0.6482808493853133,0.047610623959728815,0.07178172250227885
M87111924,33.542857142857144,61,13.212208330918484,33744.81428571429,127699.5,2362137.0,29948.48390798671,0.48612836438923396,1006.0208688245315,0.02103289108640197,0.6993794426266501,0.03626153869049837,0.07989843001279548
M87168759,27.085714285714285,55,10.208879688280978,32999.21428571428,148787.0,2309945.0,30023.30362123151,0.39254658385093166,1218.3254219409282,0.03558654651286193,0.6404482503435881,0.04865160556976414,0.07394105921946507
M87160375,27.228571428571428,56,11.957270864650187,29755.67142857143,126994.0,2082897.0,31668.983587132076,0.3946169772256729,1092.8105981112276,0.030007050611562117,0.6552,0.05292118296593999,0.06867846328774195
M87155949,30.885714285714286,60,13.19041086454513,34812.08571428571,160241.5,2436846.0,34843.386826829585,0.44761904761904764,1127.1258094357077,0.033133518964127834,0.6834305656839255,0.04390692508887613,0.07223415690422114
M87161235,27.142857142857142,56,10.815710417570113,35978.985714285714,135354.5,2518529.0,33572.13571741255,0.39337474120082816,1325.5415789473684,0.03618255909032455,0.6566194262011753,0.06200523687735964,0.07237254047343614
M87187984,31.885714285714286,63,13.79082806707089,42174.97142857143,190815.5,2952248.0,39541.42998117704,0.462111801242236,1322.6917562724013,0.04280769392561283,0.7150395136778116,0.04310680794056753,0.07851863444579892
M87122092,27.685714285714287,59,11.989927745692999,33108.614285714284,137865.0,2317603.0,32703.988419847363,0.4012422360248447,1195.873581011352,0.030463762020237223,0.6620589187439301,0.05334916575325783,0.07370767668974318
M87150415,25.65714285714286,55,10.624615239131808,29258.7,114112.5,2048109.0,25778.351201901405,0.3718426501035197,1140.3724944320713,0.04115742651870347,0.6180968075729123,0.054050968213372304,0.07697017330867392
M87191087,26.857142857142858,57,11.041849889379579,25711.17142857143,105549.5,1799782.0,24014.523877360687,0.38923395445134573,957.3308510638298,0.03432208258578321,0.6424596647184405,0.04588844233345512,0.07125396546379731
M87147006,29.8,59,13.017131569040634,30034.67142857143,150743.0,2102427.0,30883.971154130806,0.4318840579710145,1007.8748801534036,0.03467717834210867,0.6785843365119965,0.0535941623026022,0.07155134690823356
M87187090,30.82857142857143,61,12.757038873356407,32805.04285714286,153305.5,2296353.0,32531.597579204536,0.44679089026915114,1064.1116774791474,0.033923157598367205,0.6833768907895779,0.04873134761150837,0.07058099166094728
M87183485,28.62857142857143,55,11.125480957271566,30501.128571428573,124259.5,2135079.0,26422.696864585098,0.41490683229813663,1065.4086826347304,0.036631605622668754,0.6652923538230885,0.0521967482645232,0.08053422174908412
